,nombre_atrezzo,categoria_atrezzo,seccion_atrezzo,descripcion_atrezzo,largo,ancho,alto,imagen_atrezzo
4,CRI31,Cristalería,,Vasos cristal tallado morado.,1,1,1,https://atrezzovazquez.es/admin/img_prod/CRI31/CRI31-720x540.png
5,MC31,Macetero,Comedor  Salón  ,Macetero recortado tallado forma,46,30,127,https://atrezzovazquez.es/admin/img_prod/MC31/MC31-1-720x540.png
6,ME31,Mesilla,Dormitorio  ,Mesilla nogal patas cabra tapa mármol rosa,40,34,70,https://atrezzovazquez.es/admin/img_prod/ME31/ME31-1-720x540.png
7,VET31,Ventilador,,Ventilador de suelo blanco y azul 4 pies,1,1,140,https://atrezzovazquez.es/admin/img_prod/VET31/VET31-720x540.png
8,REL31,Reloj,Salón  ,Reloj de pared nogal esfera redonda 3 cristales,1,1,1,https://atrezzovazquez.es/admin/img_prod/REL31/REL31-720x540.png
9,TEL31,Telefonía,,Teléfono antiguo de oficina de disco y teclas,0,0,0,https://atrezzovazquez.es/admin/img_prod/TEL31/TLF31-720x540.png
10,MYN31,Maletas y neceseres de viaje,Viaje  ,Maleta fibra negra cinchas madera cantoneras hierro,60,40,25,https://atrezzovazquez.es/admin/img_prod/MYN31/MYN31-720x540.png
11,TOC31,Objetos de tocador,Tocador  ,Juego de tocador cristal tallado tapón bellota (2 piezas),0,0,0,https://atrezzovazquez.es/admin/img_prod/TOC31/TOC31-720x540.png
12,JUG31,Juguetes,Juguete  ,Carracas de madera antiguas,0,0,0,https://atrezzovazquez.es/admin/img_prod/JUG31/JUG31-720x540.png
13,JAR31,Jarrones y jarras,Adorno  Decoración  Salón  ,Jarrón antiguo Talavera asas cabezas,0,0,0,https://atrezzovazquez.es/admin/img_prod/JAR31/JAR31-720x540.png
14,MYS31,Tocadiscos y altavoces,Electrónica  Musica  Sonido  ,Tocadiscos con radio caja sapeli tapa plástico,0,0,0,https://atrezzovazquez.es/admin/img_prod/MYS31/MYS31-720x540.png
15,TP31,Tapices y estandartes,Inglesa  Salón  ,Tapiz bordado cacería inglesa,230,0,140,https://atrezzovazquez.es/admin/img_prod/TP31/TP31-720x540.png
16,ML31,Librería,Comedor  Salón  ,Mueble librería caoba con vitrinas laterales,286,45,203,https://atrezzovazquez.es/admin/img_prod/ML31/ML31-720x540.png
17,MED31,Atrezzo medicina,Hospital  Medicina  ,Frascos de laboratorio antiguos cristal,0,0,0,https://atrezzovazquez.es/admin/img_prod/MED31/MED31-720x540.png
18,HOS31,Hospitales,Hospital  Medicina  ,Vitrina hospital hierro blanca,70,40,170,https://atrezzovazquez.es/admin/img_prod/HOS31/HOS31-1-720x540.png
19,VAA31,Atrezzo vario,Cajas  Despacho  ,Cajas de caudales de hierro,0,0,0,https://atrezzovazquez.es/admin/img_prod/VAA31/VAA31-720x540.png
20,RAD31,Radios,Descatalogado  ,Descatalogado,0,0,0,https://atrezzovazquez.es/admin/img_prod/RAD31/LOGOTIPO VAZQUEZ- 720x540.png
21,SI31,Sillón,Imperio  Salón  Sillería  ,Sillón Imperio incrustaciones metal,60,57,95,https://atrezzovazquez.es/admin/img_prod/SI31/SI31-1-720x540.png
22,MV31,Muebles varios,Descatalogado  ,,0,0,0,https://atrezzovazquez.es/admin/img_prod/MV31/LOGOTIPO VAZQUEZ- 720x540.png
23,SIL31,Silla,Jacobino  Comedor  ,Silla jacobina tapizada roja,43,43,104,https://atrezzovazquez.es/admin/img_prod/SIL31/SIL31-1-720x540.png
24,S31,Sofá,Imperio  Salón  Sillería  ,Sofá imperio respaldo adornos metal,110,57,95,https://atrezzovazquez.es/admin/img_prod/S31/S31-1-720x540.png
25,TYV31,Televisores y vídeos,Televisor  ,"Televisión caja formica clara Fercu 21"" (B/N)",60,35,42,https://atrezzovazquez.es/admin/img_prod/TYV31/TYV31-1-720x540.png
26,PV31,Pie de vela,Candelero  ,Candelero de metal liso con mecanismo,0,0,0,https://atrezzovazquez.es/admin/img_prod/PV31/PV31-720x540.png
27,VI31,Vitrina,Gótico  Iglesia  ,Vitrina hornacina gótica madera con palo,40,27,260,https://atrezzovazquez.es/admin/img_prod/VI31/VI31-720x540.png
28,PER31,Perchero,,Perchero de pie curvado nogal cabeza ochavada con  6 ganchos,50,50,188,https://atrezzovazquez.es/admin/img_prod/PER31/PER31-720x540.png
29,MOU31,Mobiliario urbano,,Señal tráfico obras,0,0,0,https://atrezzovazquez.es/admin/img_prod/MOU31/MOU31-720x540.png
30,CDM31,Centro de mesa,,Centro de mesa plateado cuadros colores,0,0,0,https://atrezzovazquez.es/admin/img_prod/CDM31/CDM31-720x540.png
31,FIG31,Figuras,Adorno  ,Figura de loza colores loro,0,0,0,https://atrezzovazquez.es/admin/img_prod/FIG31/FIG31-720x540.png
32,PLA31,Playa,Camping  ,Maleta formica con sillas camping tela flores,0,0,0,https://atrezzovazquez.es/admin/img_prod/PLA31/PLA31-1-720x540.png
33,REG31,Religión,Iglesia  ,Santos óleos,0,0,0,https://atrezzovazquez.es/admin/img_prod/REG31/REG31-720x540.png
34,RU31,Rural,,Cubo de madera sin tapa,0,0,0,https://atrezzovazquez.es/admin/img_prod/RU31/RU31-720x540.png
35,JUE31,Juego,,Caja de juegos de viaje antigua,0,0,0,https://atrezzovazquez.es/admin/img_prod/JUE31/JUE31-1-720x540.png
36,ALF32,Alfombra,Arabe  Comedor  Salón  ,Alfombra persa verde,235,165,1,https://atrezzovazquez.es/admin/img_prod/ALF32/ALF32-720x540.png
37,AFC32,Alfombra de cama,Arabe  Dormitorio  ,Alfombrin de cama persa verde,120,60,1,https://atrezzovazquez.es/admin/img_prod/AFC32/AFC32-720x540.png
38,AP32,Aparador,Jacobino  Comedor  ,Aparador jacobino nogal con copete y tapa cristal,154,52,120,https://atrezzovazquez.es/admin/img_prod/AP32/AP32-1-720x540.png
39,AR32,Armario,Dormitorio  Valenciano  ,Armario valenciano 2 puertas,180,55,182,https://atrezzovazquez.es/admin/img_prod/AR32/AR32-1-720x540.png
40,BAC32,Banco,Gimnasio  ,Banco de listones pintado marrón,200,34,46,https://atrezzovazquez.es/admin/img_prod/BAC32/BAC32-1-720x540.png
41,BAN32,Banqueta,,Banqueta puf tapizada,50,53,50,https://atrezzovazquez.es/admin/img_prod/BAN32/BAN32-1-720x540.png
42,BAU32,Baul,Viaje  Almacenaje  ,Baúl tapa recta cinchas madera,91,45,41,https://atrezzovazquez.es/admin/img_prod/BAU32/BAU32-1-720x540.png
43,BIO32,Biombo,Dormitorio  ,Biombo 4 hojas hierro con tela,220,4,180,https://atrezzovazquez.es/admin/img_prod/BIO32/BIO32-720x540.png
44,CA32,Cama,Dormitorio  ,Cabecero raíz y roble con rejilla y mesillas,278,5,87,https://atrezzovazquez.es/admin/img_prod/CA32/CA32-720x540.png
